10:12:00;in;
11:18:00;in;
12:16:00;in;
12:43:00;in;
12:45:00;in;
12:48:00;in;
13:57:00;in;
14:17:00;out;
14:34:00;in;
14:48:00;in;
15:04:00;in;
15:18:00;out;
15:22:00;out;
15:31:00;out;
15:42:00;in;
15:52:00;out;
16:19:00;out;
16:29:00;in;
16:49:00;out;
17:10:00;in;
17:15:00;out;
17:19:00;in;
17:31:00;out;
17:39:00;in;
17:56:00;in;
17:57:00;out;
18:10:00;in;
18:47:00;in;
19:06:00;out;
19:08:00;out;
19:09:00;out;
19:17:00;out;
19:39:00;out;
19:49:00;out;
20:07:00;in;
20:28:00;out;
20:33:00;in;
20:38:00;out;
20:39:00;out;
20:42:00;out;
